,club,league,age,BMI,nationality,potential,pac,sho,pas,dri,def,phy,international_reputation,skill_moves,weak_foot,work_rate_att,work_rate_def,preferred_foot,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,rw,rb,st,lw,cf,cam,cm,cdm,cb,lb,gk,y
18,379,40,21.427397260273974,22.857142857142858,111,83,81,53,46,70,29,41,1,3,3,2,1,1,50,53,39,44,49,74,50,44,41,64,84,79,84,44,65,65,46,35,44,42,42,24,57,51,54,29,28,29,12,12,11,11,15,61.0,42.0,56.0,61.0,59.0,57.0,48.0,39.0,36.0,42.0,,35.0
19,461,5,35.24383561643835,25.16514627241271,1,72,48,35,53,50,73,74,1,2,3,1,1,1,42,23,71,60,49,48,43,52,58,52,42,53,51,70,44,59,57,58,82,31,77,72,29,51,46,72,75,72,6,10,10,8,16,46.0,63.0,48.0,46.0,47.0,49.0,55.0,66.0,71.0,63.0,,210.0
20,535,15,28.673972602739727,24.232221201918172,149,64,52,44,37,32,58,71,1,2,2,0,2,1,30,45,55,55,26,25,21,27,29,35,50,53,45,58,28,57,71,65,77,37,62,58,26,27,43,55,62,59,11,13,9,11,13,39.0,54.0,45.0,39.0,40.0,39.0,42.0,53.0,59.0,54.0,,23.0
21,211,25,25.542465753424658,22.408178985329645,1,82,73,63,72,74,57,64,1,3,3,2,1,1,68,64,51,75,55,73,73,79,67,75,74,72,74,67,89,63,72,78,53,68,72,62,65,73,46,44,68,59,9,13,12,13,15,71.0,66.0,65.0,71.0,70.0,71.0,71.0,66.0,61.0,66.0,,500.0
22,31,21,21.676712328767124,22.790357925493062,163,72,59,27,26,38,49,63,1,2,3,1,1,1,25,22,41,27,26,30,23,30,25,36,56,61,63,47,62,36,84,62,67,28,50,48,30,28,35,45,56,49,8,11,7,13,10,35.0,46.0,36.0,35.0,34.0,33.0,35.0,43.0,50.0,46.0,,7.0
23,468,37,29.96164383561644,21.91380569758948,96,69,56,26,39,37,67,70,1,2,3,1,1,1,29,24,70,49,23,28,29,30,42,37,54,58,59,60,60,32,71,60,77,23,67,79,29,35,35,63,64,60,15,13,15,12,15,38.0,58.0,41.0,38.0,38.0,39.0,44.0,58.0,66.0,58.0,,77.5
24,371,41,24.545205479452054,20.515086478979928,111,71,63,48,57,59,36,54,1,2,3,2,2,1,50,43,47,62,44,57,38,42,59,60,66,60,62,54,69,55,57,68,45,48,58,24,58,60,49,32,43,44,12,12,14,6,11,57.0,49.0,53.0,57.0,56.0,58.0,56.0,49.0,44.0,49.0,,23.0
25,580,5,21.345205479452055,25.359256128486898,163,75,69,53,39,54,24,62,1,2,3,1,1,1,45,58,53,44,41,52,37,24,28,52,71,68,64,50,60,55,64,54,72,46,45,13,52,35,49,19,28,18,11,7,10,13,12,53.0,38.0,55.0,53.0,52.0,49.0,42.0,35.0,37.0,38.0,,18.0
26,518,4,32.178082191780824,23.37472607742878,54,72,64,71,60,74,28,76,1,4,4,2,0,1,58,71,72,60,69,74,62,61,56,74,67,62,71,68,76,75,80,78,78,69,66,24,69,66,64,18,28,21,15,12,12,6,7,68.0,47.0,71.0,68.0,69.0,68.0,63.0,49.0,45.0,47.0,,320.0
27,625,15,30.22739726027397,21.383941996057334,149,66,88,65,56,69,27,39,1,3,3,2,1,1,56,66,56,64,64,68,59,43,48,65,90,87,83,66,84,71,90,37,35,59,41,22,63,52,59,22,25,26,9,9,7,9,6,67.0,46.0,65.0,67.0,66.0,65.0,55.0,42.0,38.0,46.0,,62.5
28,324,16,29.72876712328767,21.62964876033058,100,63,86,42,59,61,52,61,1,2,2,2,2,2,64,32,43,61,31,60,54,45,51,57,82,89,78,55,71,64,60,76,54,48,60,53,43,62,35,52,53,56,11,7,13,13,9,59.0,61.0,52.0,59.0,56.0,57.0,57.0,57.0,54.0,61.0,,35.0
29,636,13,29.35890410958904,23.030045351473923,164,66,65,47,61,64,53,52,1,3,3,1,1,2,57,48,47,64,37,61,58,56,60,64,67,64,75,57,85,54,57,68,37,42,67,54,52,61,41,54,53,51,13,6,10,15,14,59.0,58.0,54.0,59.0,58.0,60.0,60.0,58.0,53.0,58.0,,32.5
30,130,34,24.043835616438358,24.25127830533236,90,86,69,55,68,71,76,84,2,2,3,1,2,1,61,42,73,77,43,71,36,45,73,73,69,69,64,76,68,78,81,83,84,64,86,78,62,71,48,72,81,74,11,15,16,10,15,67.0,74.0,66.0,67.0,68.0,69.0,73.0,77.0,77.0,74.0,,1350.0
31,277,9,33.21369863013699,24.25867407194612,1,79,75,49,71,71,78,77,1,2,4,2,1,2,81,41,70,75,50,67,78,33,72,78,73,76,68,73,68,61,78,87,72,54,76,77,54,62,44,79,81,80,15,10,7,6,11,67.0,78.0,63.0,67.0,65.0,67.0,71.0,77.0,77.0,78.0,,950.0
32,65,26,33.21369863013699,23.14814814814815,64,66,61,53,64,57,65,65,1,2,3,1,2,1,75,45,68,66,42,50,45,75,65,68,75,49,56,63,57,60,59,72,61,67,68,65,41,50,68,70,63,57,15,18,11,14,11,58.0,65.0,56.0,58.0,56.0,58.0,61.0,65.0,64.0,65.0,,47.5
33,60,24,33.583561643835615,22.152646502835537,51,70,57,51,63,60,68,73,1,2,3,1,1,1,53,49,64,72,44,54,39,43,68,63,59,56,75,68,54,52,65,80,74,56,66,71,54,65,48,68,66,67,14,11,15,9,11,59.0,66.0,58.0,59.0,59.0,62.0,66.0,69.0,68.0,66.0,,140.0
34,110,24,41.30684931506849,23.671253629592222,51,72,36,70,77,70,66,70,3,3,3,2,1,1,78,67,60,75,64,69,82,86,74,73,35,36,64,75,61,75,68,62,75,71,68,68,70,77,82,65,68,66,15,9,15,14,7,67.0,65.0,67.0,67.0,68.0,70.0,72.0,70.0,68.0,65.0,,42.5
35,367,13,28.005479452054793,20.679012345679013,68,60,66,50,49,55,29,48,1,2,3,1,1,2,52,53,44,53,46,55,43,30,46,51,61,70,66,49,63,48,62,65,41,44,39,27,54,49,55,28,26,27,13,7,12,10,14,54.0,43.0,52.0,54.0,53.0,53.0,49.0,41.0,36.0,43.0,,12.0
36,229,4,39.04931506849315,22.24392361111111,138,73,31,32,44,49,76,74,1,2,2,0,2,1,31,32,78,60,23,46,32,38,45,60,33,30,34,68,32,42,32,66,78,25,86,76,21,31,36,76,76,69,6,13,8,11,8,42.0,62.0,46.0,42.0,44.0,44.0,52.0,66.0,72.0,62.0,,95.0
37,616,34,40.010958904109586,24.772096710265558,90,79,69,51,71,75,79,72,3,3,2,1,2,2,78,33,80,75,53,74,76,51,69,75,70,69,77,77,84,71,79,67,69,63,83,82,68,62,57,77,79,81,3,5,5,5,3,69.0,77.0,65.0,69.0,67.0,68.0,71.0,76.0,78.0,77.0,,140.0
38,28,25,29.895890410958906,21.97133585722012,1,66,83,55,51,70,20,37,1,3,3,1,1,1,50,57,51,59,67,69,55,50,34,65,85,81,77,70,87,49,47,55,28,56,32,23,62,51,47,15,12,18,8,8,8,9,8,65.0,43.0,60.0,65.0,63.0,62.0,53.0,38.0,31.0,43.0,,62.5
39,142,10,22.893150684931506,20.452885317750184,111,71,73,48,56,60,42,53,1,2,3,1,1,1,44,44,44,63,41,57,46,52,62,61,72,73,71,47,71,52,52,50,59,56,40,29,45,56,38,46,45,44,15,8,14,10,14,56.0,49.0,52.0,56.0,55.0,57.0,55.0,50.0,46.0,49.0,,19.0
40,604,9,27.495890410958904,21.38593635289987,102,87,92,57,68,80,76,71,2,3,3,2,1,1,75,50,58,74,42,80,61,30,65,78,91,92,88,82,83,74,80,90,59,60,77,80,73,62,38,76,77,78,16,12,10,14,12,75.0,80.0,69.0,75.0,73.0,73.0,73.0,76.0,74.0,80.0,,2050.0
41,90,27,37.21643835616438,23.939480992052093,54,68,69,44,58,53,67,61,1,2,2,0,1,1,62,39,59,69,48,53,47,37,60,50,72,66,48,70,68,41,64,74,58,56,50,72,42,41,45,68,65,68,13,9,8,9,13,55.0,67.0,52.0,55.0,53.0,54.0,58.0,64.0,64.0,67.0,,35.0
42,529,41,34.00821917808219,22.694018931589476,8,72,88,71,64,73,47,68,1,4,3,1,1,1,67,68,55,64,71,75,68,63,55,72,89,88,75,70,66,78,73,71,72,73,55,38,66,67,67,48,52,43,14,15,8,9,14,72.0,60.0,71.0,72.0,72.0,70.0,65.0,57.0,55.0,60.0,,290.0
43,120,39,27.956164383561642,21.62162162162162,49,61,53,46,52,51,54,60,1,3,3,1,2,1,43,44,62,62,38,52,40,47,52,50,55,51,53,48,51,46,38,61,68,50,43,54,46,50,48,54,52,48,10,12,12,15,7,50.0,52.0,51.0,50.0,50.0,52.0,53.0,54.0,54.0,52.0,,9.0
44,535,15,25.575342465753426,24.302487059714682,6,72,80,63,54,65,39,63,1,3,4,1,1,1,48,61,56,65,54,65,56,41,47,60,82,79,80,61,65,74,71,66,61,59,64,35,60,49,59,39,38,36,10,14,7,6,12,63.0,52.0,64.0,63.0,63.0,62.0,56.0,50.0,49.0,52.0,,77.5
45,612,10,29.276712328767122,23.108434578621196,4,62,61,51,60,61,53,62,1,3,3,1,2,2,57,50,46,63,50,57,68,65,58,60,60,61,72,56,93,53,74,67,62,49,53,54,52,56,59,48,57,56,10,7,8,7,12,57.0,57.0,54.0,57.0,56.0,58.0,58.0,57.0,55.0,57.0,,14.0
46,416,29,29.328767123287673,23.40750912892856,155,77,90,65,68,76,26,67,1,4,4,2,1,1,66,61,64,72,65,77,63,51,65,74,92,88,85,70,74,68,72,76,59,71,73,34,69,70,69,18,17,18,10,12,10,14,8,74.0,51.0,70.0,74.0,72.0,73.0,66.0,52.0,43.0,51.0,,700.0
47,247,3,24.008219178082193,23.849776597029344,52,70,58,53,56,58,44,55,1,1,3,1,1,1,21,19,15,31,15,13,15,13,24,15,45,44,31,55,53,21,54,29,63,19,20,15,14,49,23,12,20,17,58,53,56,55,58,,,,,,,,,,,57.0,16.0
48,271,35,26.676712328767124,23.449340844748207,43,71,67,47,59,55,58,68,1,2,3,1,1,1,51,41,56,64,51,51,61,54,58,60,69,65,55,61,67,43,55,70,71,61,63,58,55,61,58,57,59,58,8,13,13,12,13,57.0,60.0,54.0,57.0,56.0,58.0,60.0,61.0,60.0,60.0,,40.0
49,536,7,27.312328767123287,21.13885585942661,102,77,77,59,65,75,38,49,1,3,3,1,1,2,66,53,62,65,56,74,73,65,54,73,79,76,82,74,79,72,54,67,39,60,49,39,66,71,48,28,41,37,12,11,9,8,15,69.0,55.0,65.0,69.0,69.0,69.0,64.0,53.0,46.0,55.0,,250.0
50,134,3,33.33424657534247,22.550940964858118,29,74,68,72,68,69,35,75,2,3,3,1,0,1,62,72,78,71,73,70,68,41,67,74,70,67,58,72,48,78,70,65,84,66,68,29,70,75,77,27,36,28,15,7,7,8,15,70.0,52.0,73.0,70.0,72.0,71.0,67.0,55.0,51.0,52.0,,550.0
51,16,15,29.504109589041096,22.20408163265306,6,75,73,55,65,68,63,71,1,3,2,0,0,2,53,48,54,73,53,65,69,59,71,68,76,71,79,67,69,69,73,78,65,59,78,71,55,60,50,53,69,66,13,7,13,14,6,64.0,67.0,61.0,64.0,63.0,65.0,67.0,69.0,66.0,67.0,,200.0
52,61,30,23.96164383561644,20.45913487086832,75,68,62,29,41,42,58,62,1,2,3,1,2,1,34,23,64,50,32,36,34,31,55,48,54,68,42,50,52,40,70,45,74,29,52,56,29,28,35,58,57,60,12,12,11,14,6,40.0,54.0,43.0,40.0,40.0,41.0,44.0,53.0,59.0,54.0,,27.0
53,437,29,42.41095890410959,23.510204081632654,155,67,55,56,62,65,72,59,1,2,2,0,1,1,62,47,64,65,61,60,48,52,62,69,58,52,69,76,76,58,68,38,62,69,77,72,53,65,70,75,72,71,11,8,16,9,9,61.0,66.0,59.0,61.0,61.0,63.0,64.0,68.0,70.0,66.0,,9.0
54,469,11,26.257534246575343,21.967857555786797,29,69,65,57,57,61,46,62,1,2,2,1,1,1,48,62,48,64,51,61,38,46,61,61,63,66,68,57,57,56,59,65,62,49,58,46,64,58,54,41,48,50,16,9,12,13,13,60.0,54.0,59.0,60.0,61.0,61.0,59.0,55.0,52.0,54.0,,37.5
55,264,5,34.016438356164386,23.91327452439154,88,65,31,33,47,43,62,73,1,2,3,1,1,1,46,26,72,53,34,40,30,31,40,50,30,32,31,60,40,48,55,50,89,38,67,54,28,50,27,61,67,60,7,14,11,13,9,41.0,54.0,45.0,41.0,42.0,43.0,48.0,57.0,64.0,54.0,,40.0
56,230,21,21.17808219178082,22.06880941602535,163,81,58,56,54,63,40,46,1,1,4,1,1,1,12,10,13,26,14,11,12,15,23,24,38,41,46,56,46,26,67,24,64,13,29,10,10,29,21,11,10,13,58,56,54,46,63,,,,,,,,,,,57.0,19.0
57,149,15,32.583561643835615,21.877551020408163,161,70,70,66,67,73,31,54,2,3,3,1,1,2,67,65,45,70,70,73,75,69,56,72,75,66,76,67,81,73,66,72,49,63,41,31,64,68,65,26,31,32,6,6,9,16,7,69.0,51.0,65.0,69.0,68.0,69.0,64.0,50.0,41.0,51.0,,180.0
58,112,3,38.26301369863014,23.8884409806205,52,68,33,43,49,48,67,78,1,2,3,1,2,1,51,28,63,52,39,40,59,36,47,49,32,34,62,70,66,70,71,75,80,55,78,68,35,44,36,69,68,62,11,9,10,10,14,44.0,60.0,48.0,44.0,45.0,46.0,52.0,62.0,67.0,60.0,,27.0
59,106,12,22.15890410958904,21.967857555786797,101,74,58,55,48,60,23,52,1,1,3,1,1,1,11,9,13,29,5,5,14,11,24,18,33,15,33,35,33,23,49,16,50,6,26,7,4,26,15,9,12,13,58,55,48,52,60,,,,,,,,,,,55.0,15.0
60,108,34,28.802739726027397,25.05930702662969,127,76,75,67,70,77,37,69,1,4,3,1,1,1,65,67,49,74,72,77,67,67,64,76,74,75,79,67,79,68,66,81,68,63,59,32,73,74,70,42,34,27,8,15,15,11,12,72.0,54.0,69.0,72.0,72.0,73.0,68.0,56.0,48.0,54.0,,700.0
61,275,22,22.9013698630137,23.08254200146092,96,78,60,45,61,65,51,71,1,3,3,1,1,1,52,32,55,68,48,68,47,41,60,64,58,61,59,57,58,58,60,77,73,57,61,54,52,65,46,42,57,51,12,8,12,6,10,58.0,57.0,55.0,58.0,58.0,61.0,62.0,60.0,57.0,57.0,,77.5
62,218,38,28.89041095890411,22.159808291891057,119,81,80,69,74,82,45,75,2,1,3,1,1,2,15,15,14,35,13,14,20,13,37,23,44,46,50,78,43,21,58,44,72,18,33,16,15,38,20,12,19,17,80,69,74,75,82,,,,,,,,,,,78.0,900.0
63,306,10,25.427397260273974,24.3910588392529,111,72,75,61,57,64,31,58,1,2,3,1,1,2,56,60,44,59,52,67,51,54,58,62,78,73,68,46,64,66,56,66,63,59,36,25,56,56,62,32,29,32,11,14,13,14,11,62.0,46.0,59.0,62.0,61.0,60.0,55.0,45.0,40.0,46.0,,50.0
64,221,34,26.767123287671232,22.34029706557179,90,80,77,40,61,67,73,76,1,2,3,1,2,1,71,34,68,64,35,67,57,43,59,69,77,77,65,67,66,50,70,75,76,42,77,75,55,55,43,72,75,75,11,7,9,10,11,63.0,73.0,58.0,63.0,60.0,61.0,63.0,70.0,73.0,73.0,,650.0
65,627,29,25.01095890410959,21.007667798746542,155,84,70,46,66,70,73,56,1,2,3,0,2,1,58,35,55,78,33,65,43,40,73,70,73,68,88,70,88,59,75,83,32,57,75,78,51,60,51,71,79,73,9,12,11,13,7,63.0,72.0,56.0,63.0,62.0,65.0,69.0,73.0,69.0,72.0,,800.0
66,203,36,32.66301369863014,22.093170054286077,131,78,78,74,73,79,67,66,1,3,4,1,1,1,76,74,60,80,66,80,64,71,45,81,79,78,69,76,72,72,77,74,59,73,73,70,74,80,85,65,69,68,12,16,8,6,9,78.0,73.0,73.0,78.0,77.0,77.0,73.0,70.0,69.0,73.0,,1050.0
67,45,9,35.78630136986301,22.39541341933172,1,76,59,34,61,55,75,78,2,2,3,1,2,1,57,22,80,75,40,48,49,43,63,63,55,63,59,63,60,67,78,67,81,24,82,72,53,48,30,76,75,73,16,8,13,10,13,53.0,69.0,55.0,53.0,54.0,55.0,60.0,70.0,75.0,69.0,,500.0
68,558,7,33.794520547945204,21.877551020408163,102,74,71,68,72,78,48,64,1,3,3,2,1,1,71,64,57,74,64,78,79,70,65,78,74,69,78,79,78,74,67,74,56,71,69,52,75,74,71,41,51,43,14,13,8,16,6,74.0,61.0,70.0,74.0,74.0,74.0,72.0,63.0,56.0,61.0,,550.0
69,173,40,36.85753424657534,24.302487059714682,111,71,69,52,59,69,71,67,1,3,3,2,1,1,62,50,60,63,54,69,65,35,53,68,69,69,69,65,71,64,71,76,61,42,71,71,60,56,43,70,73,76,14,10,15,9,9,63.0,70.0,61.0,63.0,62.0,62.0,62.0,67.0,69.0,70.0,,130.0
70,201,23,29.147945205479452,24.725182932941294,160,72,81,67,58,70,27,65,1,2,3,2,1,1,58,71,68,60,62,67,59,39,59,70,82,81,89,64,72,66,92,67,66,62,54,23,65,60,67,19,27,20,13,15,11,12,15,68.0,47.0,68.0,68.0,67.0,66.0,60.0,47.0,43.0,47.0,,130.0
71,155,31,25.783561643835615,19.523115368596418,111,72,63,26,39,44,62,66,1,2,3,1,1,1,26,25,61,50,30,34,29,29,44,52,62,64,59,49,56,32,65,63,70,17,58,61,30,34,39,61,63,60,1,1,1,1,1,41.0,56.0,42.0,41.0,41.0,42.0,45.0,55.0,61.0,56.0,,42.5
72,232,30,27.95068493150685,24.419279020786913,90,71,76,55,59,67,46,66,1,3,3,1,1,2,62,52,49,65,49,67,53,41,52,67,77,76,75,56,58,68,59,65,70,49,59,44,64,55,60,44,48,42,11,13,10,10,8,64.0,56.0,61.0,64.0,63.0,62.0,59.0,55.0,52.0,56.0,,75.0
73,102,37,37.8,23.991212856977686,155,68,34,38,40,41,68,69,1,2,2,0,1,1,32,27,70,48,50,34,32,41,48,50,35,34,33,66,44,54,34,37,85,43,76,70,29,31,40,68,66,65,14,12,8,13,12,39.0,55.0,46.0,39.0,41.0,41.0,46.0,59.0,67.0,55.0,,37.5
74,268,14,25.663013698630138,21.555947481873407,133,74,52,32,39,40,65,70,1,2,2,0,2,1,35,28,61,41,36,32,36,34,46,44,49,55,49,57,51,43,70,64,74,28,67,64,25,35,44,63,70,65,7,9,14,11,11,39.0,57.0,42.0,39.0,39.0,39.0,44.0,57.0,64.0,57.0,,72.5
75,270,34,27.863013698630137,22.991689750692522,2,79,62,52,61,60,72,76,1,2,3,1,2,2,53,44,74,67,48,57,56,36,69,66,53,69,54,68,52,68,74,65,83,58,73,70,46,59,53,72,73,70,14,11,9,13,11,58.0,67.0,60.0,58.0,59.0,60.0,64.0,69.0,72.0,67.0,,470.0
76,547,3,27.86027397260274,23.16337327347079,67,73,73,64,63,72,31,60,1,4,4,1,1,1,60,60,45,66,52,74,71,55,56,69,76,70,80,62,69,71,37,71,69,74,31,32,65,68,51,25,34,24,16,6,14,10,8,68.0,49.0,64.0,68.0,67.0,68.0,63.0,49.0,41.0,49.0,,140.0
77,187,24,23.476712328767125,21.551020408163264,51,76,74,48,62,63,55,62,1,3,3,1,2,1,67,45,48,69,37,63,61,44,60,66,75,74,57,48,77,58,72,69,60,44,58,36,62,49,46,59,63,61,15,9,9,11,13,61.0,60.0,57.0,61.0,59.0,60.0,59.0,58.0,57.0,60.0,,77.5
78,185,6,22.172602739726027,21.06674327300584,143,80,87,33,50,68,57,59,1,2,4,1,1,1,54,21,44,59,26,67,28,31,52,62,89,85,89,58,86,29,64,75,54,60,49,56,41,39,38,58,61,59,12,13,11,7,6,58.0,62.0,48.0,58.0,53.0,56.0,56.0,58.0,57.0,62.0,,67.5
79,241,28,27.953424657534246,23.449340844748207,5,74,76,50,57,48,68,80,1,2,3,1,1,1,50,40,64,64,45,37,63,65,59,57,75,77,66,61,50,66,73,88,80,59,71,72,36,45,64,68,69,65,8,11,13,12,14,53.0,67.0,55.0,53.0,52.0,53.0,58.0,66.0,69.0,67.0,,200.0
80,238,20,27.076712328767123,22.3081499107674,90,79,91,68,61,79,29,51,1,3,3,2,1,1,65,73,38,68,54,81,57,50,54,76,91,91,80,65,92,65,65,61,52,66,32,38,69,54,55,27,23,29,14,12,8,14,14,74.0,52.0,68.0,74.0,72.0,70.0,62.0,49.0,40.0,52.0,,550.0
81,48,31,33.391780821917806,23.483476686283385,136,64,61,60,64,61,54,58,1,1,2,1,1,1,17,11,16,19,15,15,15,11,24,14,52,55,58,66,39,23,69,33,70,13,30,23,13,15,11,11,13,15,61,60,64,58,61,,,,,,,,,,,62.0,25.0
82,286,29,29.34794520547945,21.73650525298877,155,72,82,66,66,66,43,71,1,3,4,1,1,1,74,65,64,59,58,66,72,73,59,62,83,81,70,69,70,71,91,77,73,66,52,45,68,70,65,37,41,39,14,16,15,8,12,68.0,58.0,67.0,68.0,67.0,66.0,63.0,55.0,52.0,58.0,,130.0
83,443,25,30.66849315068493,23.66691015339664,1,75,56,40,49,54,72,76,1,2,3,0,2,1,33,36,81,64,27,52,24,24,60,59,58,55,50,62,52,58,84,74,79,37,70,69,37,42,39,70,72,73,13,9,12,14,14,49.0,64.0,54.0,49.0,51.0,52.0,57.0,66.0,71.0,64.0,,320.0
